Region_code,Type,Pop_ID,PopCode,PopCode2,PopName,Region_name,Province,Date_FLRS_Surveyed,L,M,S,Lat,Long,Pop_Size_Field_Estimate_2015,Pop_size_Estimate,Prop_stems_w_buds_2015_notes,Prop_stems_w_buds_2015,Prop_stems_w_open_flr_2015_notes,Num_LivePlantsGrowing_2015,Year_Live_Plants_Collected,Num_SampledForLeaves_2015,Num_SampledForFlowers,SampledForSeeds,Flrs_Sampled_Maggie_Corrina,Notes1,Notes2
ON,T,T13,ON.T13,ON.T13,Joes Lake,Clyde Forks,ON,15/08/2015,21,3,127,45.13526,-76.64032,10000,10000,20-50,35,20-50,30,2015,52,52,y,y,  Flower Station Rd near the town of Clyde Forks. We stopped at side of road called flower station road. Put the canoe in off road. There is a large marsh here. We could not access a big portion of the marsh either with the canoe (it was too dense with reeds) or with wadders (too deep).,
ON,D,D8,ON.D8,ON.D8,Ardoch,Plev,ON,15/08/2015,19,0,47,44.9654,-76.85036,100,100,?,,?,15,2015,35,35,y,y, 8.5 km southwest of Plev on Rd 506. Stopped at a bridge with a boat launch. ,
ON,T,T14,ON.T14,ON.T14,Black River,Prince Edward County rr 13,ON,16/08/2015,53,8,12,43.95509,-77.04996,100,100,60-70,65,passed peak flowering,17,2015,28,28,y,y,Access beside the Black River Cheese Factory,
ON,D,D9,ON.D9,ON.D9,Pumphouse Marsh,Oshawa,ON,17/08/2015,375,0,264,43.859109,-78.840386,5000s,1000,80-100,90,peak flowering,31,2015,50,50,y,y,had to portage canoe along walking/bike path about 500m,
ON,T,T15,ON.T15,ON.T15,Puslinch Lake,Cambridge,ON,17/08/2015,64,17,136,43.418548,-80.269185,10-50000,50000,80-100,90,passed peak flowering,40,2015,50,50,n,y,"Some mid morphs have mid length anthers, some shorts have long styles but anthers are distinctly longer by about ~5mm ",
ON,M,M12,ON.M12,ON.M12,W Holland River,Bradford West Gwillimbury,ON,18/08/2015,0,0,89,44.112764,-79.546516,100,100,80-100,90,peak flowering,6,2015,8,8,y,y,"dirty river, access is off Hwy11 on Cal Rd.",
ON,D,D2,ON.D2,ON.D2,Scugog Lake_2015,Kawartha Lakes,ON,18/08/2015,81,166,0,44.105299,-78.888614,estimate based on memory,1000,,,,29,2015,46,46,y,y,,
ON,M,M13,ON.M13,ON.M13,Little Lake,Barrie ,ON,20/08/2015,344,0,0,44.419473,-79.670619,10-50000,10000,,,,37,2015,50,50,y,y,Access off little lake drive dr at a rv park. Paid 5$ for launch access.,
ON,M,M14,ON.M14,ON.M14,Lafarce Lake,Kawartha's,ON,21/08/2015,69,0,0,44.99195,-79.7377974,100,100,<5,1,just passed peak flowering,29,2015,50,50,y,y,Access off Muskoka District Rd 38. There is a smoke shop on this Lake we asked permission for access and parked behind the shop. This is a tiny lake,
ON,D,D5,ON.D5,ON.D5,Rice Lake A,Bewdley,ON,22/08/2015,175,40,37,44.087385,-78.313526,low 100000s,10000,80-100,90,just passed peak flowering,22,2015,39,19,y,y,Bewdley A and B could possibly be the same population. If one is looking out from the boat launch A is on the right and B on left.  A is east of town (starting at the captains Mari) and B is west.,
ON,T,T10,ON.T10,ON.T10,Rice Lake B,Bewdley,ON,22/08/2015,17,56,26,44.097155,-78.325971,10000s,10000,80-100,90,just passed peak flowering,30,2015,51,51,n,y,Bewdley A and B could possibly be the same population. If one is looking out from the boat launch A is on the right and B on left. ,
ON,T,T16,ON.T16,ON.T16,Rideau Bird Sanctuary,Merickville ,ON,23/08/2015,62,26,1,44.902138,-75.869711,100,100,70-80,75,"passed flowering, <1% still had open flowers",20,2015,30,30,y,y,"This population was passed peak flowering. This is a small population. The exact location of plants is closer to this GPS coordite. 44.901925, -75.876508. The GPS coordites listed in this spreadsheet are the coordites of where we origilly launched our canoe.",This was labelled T16 on all plants and tissue collected. I don't know how we ended up calling it T17 in this datasheet. 
